Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA
Ireland,Premier Division,2025,28/03/2025,19:45,Waterford,St. Patricks,1,2,A,4.82,3.67,1.78,4.82,3.74,1.83,4.4,3.57,1.77,4.9,3.95,1.84,,,
Ireland,Premier Division,2025,28/03/2025,20:00,Shamrock Rovers,Derry City,0,0,D,2.12,3.01,4.24,2.13,3.2,4.24,2.05,3,4.01,2.16,3.15,4.3,,,
Ireland,Premier Division,2025,04/04/2025,19:45,Bohemians,Sligo Rovers,4,2,H,1.44,4.54,7.62,1.45,4.54,7.62,1.43,4.38,7.1,1.46,4.9,8.4,,,
Ireland,Premier Division,2025,04/04/2025,19:45,Derry City,Cork City,2,1,H,1.47,4.32,7.54,1.48,4.5,7.6,1.44,4.17,7.37,1.49,4.5,8.8,,,
Ireland,Premier Division,2025,04/04/2025,19:45,Drogheda,Waterford,2,0,H,2.03,3.31,4.09,2.05,3.31,4.09,2,3.24,3.9,2.1,3.35,4.2,,,
Ireland,Premier Division,2025,04/04/2025,19:45,Galway,Shamrock Rovers,0,1,A,3.44,3.01,2.41,3.55,3.1,2.41,3.32,2.99,2.32,3.55,3.05,2.46,,,
Ireland,Premier Division,2025,04/04/2025,19:45,St. Patricks,Shelbourne,0,0,D,1.81,3.42,5.11,1.87,3.47,5.11,1.8,3.35,4.69,1.85,3.5,5.7,,,
Ireland,Premier Division,2025,11/04/2025,19:45,Cork City,St. Patricks,0,2,A,6.67,4.19,1.53,7.17,4.2,1.55,6.45,3.88,1.51,7.2,4.2,1.57,,,
Ireland,Premier Division,2025,11/04/2025,19:45,Derry City,Drogheda,1,3,A,1.74,3.43,5.71,1.74,3.55,5.71,1.69,3.36,5.33,1.78,3.55,6,,,
Ireland,Premier Division,2025,11/04/2025,19:45,Shelbourne,Bohemians,1,0,H,2.39,3.15,3.31,2.39,3.2,3.31,2.3,3.11,3.13,2.48,3.2,3.4,,,
Ireland,Premier Division,2025,11/04/2025,20:00,Shamrock Rovers,Waterford,2,0,H,1.42,4.35,9.14,1.44,4.7,9.5,1.39,4.2,8.53,1.44,4.6,10.5,,,
Ireland,Premier Division,2025,12/04/2025,19:45,Sligo Rovers,Galway,1,2,A,3.56,3.43,2.14,3.56,3.43,2.21,3.36,3.28,2.12,3.75,3.5,2.2,,,
Ireland,Premier Division,2025,14/04/2025,20:00,Shamrock Rovers,Cork City,4,1,H,1.36,4.73,10.15,1.36,4.75,10.5,1.33,4.52,9.45,1.39,4.8,12,,,
Ireland,Premier Division,2025,18/04/2025,19:45,Bohemians,Cork City,1,0,H,1.5,4.26,7.03,1.54,4.26,7.03,1.49,4.02,6.41,1.55,4.3,7.2,,,
Ireland,Premier Division,2025,18/04/2025,19:45,Drogheda,Shelbourne,2,2,D,2.92,2.99,2.77,2.92,3.14,2.77,2.77,2.96,2.65,3,3,2.86,,,
Ireland,Premier Division,2025,18/04/2025,19:45,Galway,Derry City,2,3,A,2.77,2.91,2.99,2.77,2.95,2.99,2.63,2.85,2.89,2.82,2.96,3.2,,,
Ireland,Premier Division,2025,18/04/2025,19:45,St. Patricks,Shamrock Rovers,2,2,D,2.87,3.08,2.74,2.87,3.18,2.74,2.74,3.03,2.61,2.94,3.1,2.9,,,
Ireland,Premier Division,2025,18/04/2025,19:45,Waterford,Sligo Rovers,0,4,A,1.93,3.69,3.96,2.06,3.69,3.96,1.91,3.53,3.72,1.99,3.9,4,,,
Ireland,Premier Division,2025,21/04/2025,14:00,Shamrock Rovers,Bohemians,2,3,A,1.68,3.66,5.67,1.71,3.75,5.67,1.65,3.56,5.22,1.74,3.75,6,,,
Ireland,Premier Division,2025,21/04/2025,17:00,Cork City,Waterford,2,1,H,2.2,3.29,3.57,2.2,3.33,3.57,2.14,3.27,3.29,2.26,3.45,3.65,,,
Ireland,Premier Division,2025,21/04/2025,17:00,Drogheda,St. Patricks,0,0,D,3.39,3.27,2.28,3.45,3.27,2.28,3.25,3.16,2.2,3.55,3.4,2.32,,,
Ireland,Premier Division,2025,21/04/2025,17:00,Shelbourne,Galway,2,2,D,2.33,3.12,3.45,2.33,3.12,3.5,2.26,3.04,3.28,2.36,3.1,3.7,,,
Ireland,Premier Division,2025,22/04/2025,19:45,Derry City,Sligo Rovers,3,0,H,1.47,4.37,7.52,1.51,4.37,7.67,1.45,4.05,7.1,1.5,4.6,7.8,,,
Ireland,Premier Division,2025,25/04/2025,19:45,Bohemians,St. Patricks,2,1,H,3.17,3.23,2.42,3.17,3.35,2.42,2.96,3.18,2.36,3.3,3.3,2.5,,,
Ireland,Premier Division,2025,25/04/2025,19:45,Galway,Drogheda,2,1,H,2.17,3.16,3.8,2.2,3.16,3.8,2.15,3.09,3.48,2.22,3.2,4,,,
Ireland,Premier Division,2025,25/04/2025,19:45,Shamrock Rovers,Shelbourne,2,2,D,1.87,3.25,5.02,1.92,3.25,5.02,1.87,3.16,4.44,1.94,3.3,5.3,,,
Ireland,Premier Division,2025,25/04/2025,19:45,Waterford,Derry City,2,1,H,4.66,3.48,1.85,4.66,3.6,1.9,4.35,3.36,1.82,5,3.5,1.92,,,
Ireland,Premier Division,2025,26/04/2025,19:45,Sligo Rovers,Cork City,1,1,D,2.21,3.61,3.22,2.25,3.61,3.22,2.16,3.43,3.11,2.3,3.7,3.3,,,
Ireland,Premier Division,2025,02/05/2025,19:45,Bohemians,Waterford,1,2,A,1.54,4.28,6.19,1.55,4.28,6.54,1.51,4.03,6,1.59,4.4,6.8,,,
