Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA
Brazil,Serie A,2025,06/04/2025,22:30,Vitoria,Flamengo RJ,1,2,A,5.52,3.36,1.79,5.54,3.45,1.84,5.15,3.32,1.79,5.9,3.45,1.83,,,
Brazil,Serie A,2025,07/04/2025,00:30,Santos,Bahia,2,2,D,2.11,3.15,4.11,2.2,3.25,4.14,2.1,3.13,3.86,2.14,3.25,4.3,,,
Brazil,Serie A,2025,12/04/2025,20:00,Bragantino,Botafogo RJ,1,0,H,3.05,3.11,2.61,3.1,3.15,2.7,2.97,3.06,2.56,3.1,3.2,2.68,,,
Brazil,Serie A,2025,12/04/2025,20:00,Juventude,Ceara,2,1,H,2.3,3.12,3.6,2.36,3.22,3.67,2.27,3.09,3.44,2.36,3.2,3.65,,,
Brazil,Serie A,2025,12/04/2025,22:30,Palmeiras,Corinthians,2,0,H,1.79,3.4,5.41,1.83,3.6,5.5,1.76,3.44,5.14,1.8,3.45,6.2,,,
Brazil,Serie A,2025,13/04/2025,01:00,Vasco,Sport Recife,3,1,H,1.97,3.36,4.33,1.99,3.46,4.46,1.94,3.35,4.16,2,3.35,4.7,,,
Brazil,Serie A,2025,13/04/2025,20:00,Bahia,Mirassol,1,1,D,1.5,4.21,7.48,1.54,4.21,8,1.5,4.05,7.06,1.52,4.4,8.2,,,
Brazil,Serie A,2025,13/04/2025,21:30,Gremio,Flamengo RJ,0,2,A,4.78,3.54,1.84,4.78,3.54,1.95,4.47,3.43,1.85,4.8,3.6,1.92,,,
Brazil,Serie A,2025,13/04/2025,21:30,Sao Paulo,Cruzeiro,1,1,D,1.91,3.23,4.94,1.92,3.23,5.39,1.88,3.14,4.87,1.94,3.25,5.5,,,
Brazil,Serie A,2025,13/04/2025,23:30,Fluminense,Santos,1,0,H,1.81,3.34,5.42,1.82,3.35,5.5,1.79,3.27,5.21,1.88,3.4,5.6,,,
Brazil,Serie A,2025,14/04/2025,00:00,Fortaleza,Internacional,0,0,D,3.08,3.14,2.57,3.1,3.15,2.67,3,3.09,2.52,3.1,3.25,2.68,,,
Brazil,Serie A,2025,14/04/2025,00:30,Atletico-MG,Vitoria,2,2,D,1.57,3.92,6.85,1.58,4,6.99,1.56,3.81,6.64,1.59,4,8,,,
Brazil,Serie A,2025,16/04/2025,01:30,Ceara,Vasco,2,1,H,2.26,3.21,3.59,2.34,3.25,3.65,2.22,3.16,3.48,2.26,3.3,3.9,,,
Brazil,Serie A,2025,16/04/2025,22:30,Botafogo RJ,Sao Paulo,2,2,D,1.85,3.19,5.46,1.86,3.45,5.46,1.83,3.28,4.9,1.9,3.3,5.8,,,
