Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA
Norway,Eliteserien,2026,18/04/2026,17:00,Viking,Brann,3,2,H,,,,1.73,4.33,4.2,1.69,4.01,4.01,,,,1.7,4.1,4.2
Norway,Eliteserien,2026,19/04/2026,13:30,Valerenga,Lillestrom,0,2,A,,,,2.5,3.75,2.7,2.4,3.56,2.56,,,,2.5,3.6,2.6
Norway,Eliteserien,2026,19/04/2026,16:00,HamKam,KFUM Oslo,4,0,H,,,,2.88,3.5,2.45,2.72,3.34,2.35,,,,2.88,3.4,2.38
Norway,Eliteserien,2026,19/04/2026,16:00,Kristiansund,Fredrikstad,2,0,H,,,,3,3.6,2.25,2.87,3.5,2.19,,,,3,3.5,2.25
Norway,Eliteserien,2026,19/04/2026,16:00,Sarpsborg 08,Tromso,0,1,A,,,,3.3,3.6,2.2,3.1,3.39,2.11,,,,3.1,3.4,2.2
Norway,Eliteserien,2026,19/04/2026,18:15,Start,Molde,1,1,D,,,,3.6,3.75,2.2,3.39,3.56,1.95,,,,3.6,3.6,1.95
Norway,Eliteserien,2026,25/04/2026,15:00,Fredrikstad,Viking,1,2,A,,,,5,4.2,1.67,4.61,4,1.6,,,,5,4.2,1.6
Norway,Eliteserien,2026,25/04/2026,17:00,Rosenborg,Brann,1,1,D,,,,2.65,3.75,2.6,2.48,3.45,2.5,,,,2.45,3.75,2.6
Norway,Eliteserien,2026,26/04/2026,13:30,Molde,Valerenga,5,1,H,,,,2.05,3.7,3.4,1.98,3.6,3.22,,,,2.05,3.7,3.25
Norway,Eliteserien,2026,26/04/2026,16:00,Aalesund,Kristiansund,1,1,D,,,,1.87,4.2,3.95,1.78,3.84,3.65,,,,1.8,4,3.8
Norway,Eliteserien,2026,26/04/2026,16:00,HamKam,Start,2,1,H,,,,2.02,3.6,3.65,1.94,3.46,3.46,,,,1.95,3.6,3.5
Norway,Eliteserien,2026,26/04/2026,16:00,KFUM Oslo,Sarpsborg 08,1,0,H,,,,2.3,3.75,2.85,2.23,3.53,2.77,,,,2.3,3.75,2.75
Norway,Eliteserien,2026,26/04/2026,16:00,Tromso,Sandefjord,3,1,H,,,,1.6,4.2,5.66,1.54,4.02,5.15,,,,1.57,4.1,5.25
Norway,Eliteserien,2026,26/04/2026,18:15,Lillestrom,Bodo/Glimt,0,2,A,,,,3.5,4.5,1.92,3.35,4.01,1.84,,,,3.4,4.5,1.85
Norway,Eliteserien,2026,29/04/2026,18:00,Tromso,Brann,0,5,A,,,,2,3.65,3.6,1.92,3.54,3.45,,,,1.95,3.6,3.6
Norway,Eliteserien,2026,30/04/2026,18:00,Bodo/Glimt,Start,5,0,H,,,,1.14,9,19,1.1,8.51,15.72,,,,1.11,9,17
Norway,Eliteserien,2026,01/05/2026,17:00,Viking,Rosenborg,3,0,H,,,,1.41,5.25,7,1.38,4.8,6.39,,,,1.4,5.25,6.5
Norway,Eliteserien,2026,02/05/2026,17:00,Brann,Fredrikstad,3,1,H,,,,1.47,4.75,6.5,1.43,4.46,5.96,,,,1.45,4.75,6.25
Norway,Eliteserien,2026,03/05/2026,13:30,Lillestrom,Sarpsborg 08,4,0,H,,,,1.78,4.25,4.25,1.71,4,3.88,,,,1.75,4.2,3.9
Norway,Eliteserien,2026,03/05/2026,16:00,Kristiansund,HamKam,1,1,D,,,,2.63,3.6,2.63,2.48,3.42,2.53,,,,2.63,3.4,2.63
Norway,Eliteserien,2026,03/05/2026,16:00,Sandefjord,Aalesund,1,0,H,,,,1.85,4,3.95,1.79,3.81,3.67,,,,1.85,3.8,3.8
Norway,Eliteserien,2026,03/05/2026,16:00,Start,Tromso,1,1,D,,,,4.75,3.8,1.79,4.33,3.58,1.73,,,,4.5,3.8,1.73
Norway,Eliteserien,2026,03/05/2026,18:15,Valerenga,KFUM Oslo,2,2,D,,,,2,3.8,3.6,1.93,3.58,3.37,,,,1.95,3.6,3.6
Norway,Eliteserien,2026,04/05/2026,18:00,Bodo/Glimt,Molde,0,1,A,,,,1.36,5.75,7.5,1.32,5.43,6.64,,,,1.36,5.75,6.5
